x, y
-0.4461608024690179, 2.2549583660252424
-0.387176662505785, 1.9341536668767527
4.716330077726982, 2.3709486283810293
4.773797460324482, 2.0574867595820834
9.795424060874716, 2.158108169766993
9.911875583435446, 1.6633287927012534
14.918642131581212, 2.1061385197874274
14.908483505788045, 1.5698080029028467
20.072489840293624, 1.0017239581399133
20.03064088878346, 0.715263914252251
1.4977149162300165, 2.0709102178928362
1.5573049773058474, 1.7024646616157217
6.587576052395825, 2.1472303631728993
6.624874731808795, 1.7766974600359118
11.74748818445885, 1.8939011768624368
11.770534035636107, 1.3779007071449372
16.876924439142382, 1.6468395137927696
16.911494518964425, 1.1138368491184365
21.97481891651071, 0.7523795338880831
21.955562352635475, 0.6112730580978425
