x, y
0.5016225825514514, 2.121975810127367
0.5028532496632344, 2.103569045422557
1.0240383982657826, 2.16977213971347
1.0176648304825895, 2.151861278336682
2.0705520159910864, 2.2372222850204375
2.065484612586569, 2.2211491830357306
4.096055985403054, 2.1987970697947468
4.096055985403054, 2.175635467297728
8.132424273990889, 1.9126681422221574
8.10082033365991, 1.8912349086772142
12.297144275153215, 1.5438546273979297
12.272402736021423, 1.5232673465890239
0.5023302691899959, 2.0585876964925776
0.5056460306976367, 2.0116883685145144
1.0315593212730383, 2.0953501770301957
1.0338471723729596, 2.0676014687489745
2.0706215187252623, 2.1314490222317835
2.0659699899104274, 2.1070987102867123
4.098118870017811, 2.0055041623062424
4.074253146689691, 1.9706669535127093
8.12451174853776, 1.663542354155196
8.139251601360865, 1.6051351518886259
12.224299821324255, 1.2899812942347593
12.502754814100538, 1.2171491392795546
0.5017404610508709, 1.856981115563707
0.510729324699688, 1.790639460048788
1.0187927230057339, 2.002455815378108
1.0327372782448556, 1.9404678993753806
2.027089663503954, 2.0373294876516423
2.0551800136711735, 1.9798557504731136
4.0056373654884725, 1.8898784672211546
4.057194063675349, 1.832929804154649
8.136246871460335, 1.520248170444891
8.14280407644637, 1.4317658898729977
12.358801715726447, 1.1522660229646997
12.434534420100235, 1.065431891688879
